rid,alter_age,alter_agecat,alter_agecat_w0,alter_weight,alter_weight_onlycc,hh_alter,num_cc_nonhh,nonhh_alter_num,rel_work,rel_egoclient,rel_altercustomer,loc_store,loc_work,ego_age,weight_pooled,weight_city
5fc57b03-598b-b95e-755c-0d2444be2d89,46,"[45,55)","[45,65)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,43,0.711195666,0.593497725
5fc57b03-598b-b95e-755c-0d2444be2d89,66,"[65,100]","[65,100]",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,43,0.711195666,0.593497725
5fc57a64-d406-aeb7-b0a5-6da1439a81a0,56,"[55,65)","[45,65)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,61,2.687199402,4.701744686
5fc57b6f-6ee7-36ae-af2c-d7a8d2244266,79,"[65,100]","[65,100]",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,72,1.242286257,1.022095701
5fc57bcf-4680-24a8-d934-5047a5264dc2,60,"[55,65)","[45,65)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,57,0.681485368,0.314038954
5fc57bac-ba66-14fc-e2e9-5abce84d9934,50,"[45,55)","[45,65)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,48,0.917401455,0.726391508
5fc57b3e-a83e-9ef9-cb18-3627356697cd,81,"[65,100]","[65,100]",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,80,1.242286257,0.849285294
5fc57b3d-b95d-6722-80e2-7f28acaaf438,7,"[0,18)","[0,18)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,40,0.478918097,1.296519481
5fc57b3d-b95d-6722-80e2-7f28acaaf438,40,"[35,45)","[35,45)",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,40,0.478918097,1.296519481
5fc57ba2-4532-7f0b-c827-1cf3670e8185,68,"[65,100]","[65,100]",1,1,TRUE,NA,NA,NA,NA,NA,NA,NA,64,0.78022751,0.773141706
