Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Ohio,US,2021-01-02T05:30:44Z,40.3888,-82.7649,700380,13766,556106,130508,39,5991.735890701594,8757248,NA,1.9655044404466149,84000039,USA,7.491806897023723e-6,NA,2021-01-01,NA,NA
Oklahoma,US,2021-01-02T05:30:44Z,35.5653,-96.9289,291209,2489,255843,32877,40,7359.391817630202,2685254,NA,0.854712594734366,84000040,USA,67861.35152367808,NA,2021-01-01,NA,NA
Oregon,US,2021-01-02T05:30:44Z,44.572,-122.0709,113909,1477,5870,106562,41,2700.713676552142,2652670,NA,1.2966490795283954,84000041,USA,62893.20552703974,NA,2021-01-01,NA,NA
Pennsylvania,US,2021-01-02T05:30:44Z,40.5908,-77.2098,657071,16245,429017,211809,42,5132.56963429667,7607664,NA,2.4723355619103566,84000042,USA,30645.581713903983,NA,2021-01-01,NA,NA
Puerto Rico,US,2021-01-02T05:30:44Z,18.2208,-66.5901,77054,1521,66930,8603,72,2412.69201119456,1386353,NA,1.973940353518312,630,PRI,43409.07425695762,NA,2021-01-01,NA,NA
Rhode Island,US,2021-01-02T05:30:44Z,41.6809,-71.5118,87949,1944,5381,80624,44,8302.080216281325,1974498,NA,2.210371920090052,84000044,USA,186385.75518638128,NA,2021-01-01,NA,NA
South Carolina,US,2021-01-02T05:30:44Z,33.8569,-80.945,307507,5296,151084,151127,45,5972.501094448051,3173021,NA,1.7222372173641576,84000045,USA,61627.44716447641,NA,2021-01-01,NA,NA
South Dakota,US,2021-01-02T05:30:44Z,44.2998,-99.4388,99164,1488,91980,5696,46,11209.290811487816,597286,NA,1.5005445524585534,84000046,USA,6.751595812623847e-6,NA,2021-01-01,NA,NA
Tennessee,US,2021-01-02T05:30:44Z,35.7478,-86.6923,592170,6955,508914,76463,47,8673.55261412288,5644058,NA,1.1741725923975068,84000047,USA,82646.27610894085,NA,2021-01-01,NA,NA
Texas,US,2021-01-02T05:30:44Z,31.0545,-97.5635,1819793,28372,1435164,356270,48,6276.039689913198,13848790,NA,1.5583640556920484,84000048,USA,47761.232017747614,NA,2021-01-01,NA,NA
Utah,US,2021-01-02T05:30:44Z,40.15,-111.8624,276612,1269,224439,50904,49,8628.060629615235,2245303,NA,0.4587653464057958,84000049,USA,70035.32173534401,NA,2021-01-01,NA,NA
Vermont,US,2021-01-02T05:30:44Z,44.0459,-72.7107,7412,136,4959,2317,50,1187.8414523332942,697705,NA,1.834862385321101,84000050,USA,111813.66979225595,NA,2021-01-01,NA,NA
Virgin Islands,US,2021-01-02T05:30:44Z,18.3358,-64.8963,2036,23,1901,112,78,1898.0497445650144,36212,NA,1.1296660117878192,850,VIR,33758.4368124697,NA,2021-01-01,NA,NA
Virginia,US,2021-01-02T05:30:44Z,37.7693,-78.17,354766,5081,30964,318721,51,4156.34948501667,4291320,NA,1.4322116550063986,84000051,USA,50276.02890931413,NA,2021-01-01,NA,NA
Washington,US,2021-01-02T05:30:44Z,47.4009,-121.4905,246752,3461,NA,NA,53,3240.3869627583736,3836820,NA,1.402622876410323,84000053,USA,50385.73752776303,NA,2021-01-01,NA,NA
West Virginia,US,2021-01-02T05:30:44Z,38.4912,-80.9545,87820,1361,60316,26143,54,4900.2676677750205,1535487,NA,1.5497608745160556,84000054,USA,85678.63015701277,NA,2021-01-01,NA,NA
Wisconsin,US,2021-01-02T05:30:44Z,44.2685,-89.6165,522523,5254,450358,66911,55,8974.3052475992,5380828,NA,1.005505977727296,84000055,USA,9.241544000327012e-6,NA,2021-01-01,NA,NA
Wyoming,US,2021-01-02T05:30:44Z,42.756,-107.3025,44409,438,42570,1401,56,7673.142015934093,501784,NA,0.9862865635344188,84000056,USA,86699.99084247503,NA,2021-01-01,NA,NA
