rid,resp_employ,num_cc_nonhh,num_cc_work,num_cc,age,agecat,num_cc,weight_pooled
5fc58056-37fd-8ccd-dd54-0a77ab2eedf6,Yes,4,12,6,40,"[35,45)",6,0.518267406
5fc5833f-e5b2-d92a-2e5d-547146ae27ac,Yes,4,5,8,31,"[25,35)",8,0.929883307
5fc581af-3b0e-9ada-a472-2478849eb132,Yes,0,3,3,47,"[45,55)",3,4.018206791
5fc583c4-77e9-b3ab-53fa-71f19b621551,Yes,1,0,2,35,"[35,45)",2,0.27217158
5fc58442-2906-e2d9-8c2c-50561ba68a79,Yes,2,3,5,18,"[18,25)",5,1.327544164
5fc5847c-a124-f0cd-46c9-cad86445638d,No,0,NA,0,42,"[35,45)",0,1.08328163
5fc582a0-dd3d-4c12-6f88-a1289020b1c9,Yes,11,1,14,44,"[35,45)",14,0.30979279
5fc5834a-1a69-8740-b856-2134580df1ad,No,1,NA,3,40,"[35,45)",3,0.936694023
5fc582e0-4841-180b-8376-436942bea4fb,Yes,2,0,4,33,"[25,35)",4,2.057560391
5fc58383-11f0-dfbf-e3a4-b94c83aa4d6f,Yes,4,4,7,34,"[25,35)",7,0.684052669
5fc5838b-7095-b7d7-ae09-12a4c256e732,No,1,NA,1,57,"[55,65)",1,0.696629628
5fc58418-ad3d-8c24-7f31-fa6863a896cf,Yes,1,0,2,54,"[45,55)",2,0.681485368
5fc58447-2410-4193-cac6-dfe43f6f4bdd,No,0,NA,1,60,"[55,65)",1,0.642891933
5fc5840c-a0b4-c45c-32bf-0681740f58c8,No,2,NA,3,62,"[55,65)",3,0.764157596
5fc583c5-5c70-3aa6-f3b7-08b85acee664,No,0,NA,2,50,"[45,55)",2,1.048798301
5fc58401-c88c-956b-1f93-b9fc4d01d7c1,No,2,NA,3,62,"[55,65)",3,4.87958105
5fc58471-e5c0-eec6-18a8-47b3404b2bb7,Yes,1,0,3,47,"[45,55)",3,0.711195666
5fc58369-9722-3620-78d1-faa538198c13,Yes,5,3,7,23,"[18,25)",7,1.43986056
5fc58294-44a6-4560-71f6-afb2301c7ae4,Yes,5,8,9,44,"[35,45)",9,2.383639543
5fc581b0-e2ef-be38-9344-468c25cfdb87,Yes,50,0,54,39,"[35,45)",54,0.770300586
5fc5826c-be3b-c1f7-a57c-9a841d219cad,Yes,0,0,2,25,"[25,35)",2,0.900204089
5fc584f8-1606-d604-5890-bfdafde1c886,No,0,NA,0,72,"[65,100]",0,0.579549749
5fc584b0-cb0b-7e97-106c-56e031ebadca,Yes,2,0,3,75,"[65,100]",3,1.242286257
5fc583c0-1e56-6980-8b0d-a8bcb14f9d2f,No,11,NA,12,68,"[65,100]",12,0.764157596
5fc5846d-4ec2-ffaf-5947-723a34019ae1,Yes,2,0,4,51,"[45,55)",4,0.69581672
